Sno,Weight
0,-0.00088572304
1,-0.0074651535
2,-0.004533544
3,0.0031383794
4,-0.016685108
5,0.0021080533
6,-0.00792726
7,-0.006273005
8,-0.0075044213
9,-0.0041400944
10,-0.0068863453
11,0.0010631956
12,-0.0014551062
13,-0.0003443947
14,-0.0035918914
15,-0.017114835
16,0.000775788
17,-0.011338446
18,-0.0039537335
19,-0.0045560463
20,-0.013293426
21,-0.0076308423
22,-0.0038476356
23,-0.017057156
24,-0.005532563
25,-0.0152840465
26,-0.0022406671
27,-0.0026206002
28,-0.0096636
29,-0.0024370064
30,-0.0005759294
31,-0.00609724
32,0.0007006498
33,-0.0044754674
34,-0.0018715902
35,-0.0076231034
36,-0.0011912787
37,-0.0038550403
38,-0.006857949
39,-0.001953692
40,-0.0028477986
41,-0.002581248
42,-0.00066779036
43,-0.0061597778
44,-0.0010453219
45,-0.008760959
46,-0.0081092445
47,-0.012247283
48,-0.017723134
49,-0.011887764
50,-0.0070630494
51,-0.0125296125
52,-0.0074009183
53,-0.0082712285
54,-0.00045759417
55,-0.0016228734
56,-0.005075246
57,-0.0059303488
58,-0.008092171
59,-0.007087013
60,-0.008239631
61,-0.0062608165
62,-0.002082
63,-0.015112137
64,-0.0040583266
65,-0.0041901227
66,-0.008459471
67,-0.0074117244
68,-0.018051213
69,-0.0038902059
70,0.00013243919
71,-0.0034102458
72,-0.0042720875
73,-0.011285567
74,-0.0008972698
75,-0.0149686765
76,-0.0073820935
77,-0.0010343804
78,-0.017583782
79,-0.00022223842
80,0.0006895225
81,0.00394591
82,-0.0023056036
83,-0.00060511474
84,-0.008298266
85,-0.0023592215
86,-0.0017275685
87,-0.0054179924
88,-0.0034951437
89,-0.006101887
90,-0.0005952489
91,-0.005696649
92,-0.0059834025
93,-1.5041189e-06
94,-0.002010994
95,-0.007947783
96,-0.00762591
97,-0.004776546
98,-0.013789899
99,-0.0076840436
100,0.004942726
101,-0.0034178398
102,-0.0077018
103,-0.01317176
104,-0.0024322253
105,-0.0189753
106,0.0020546198
107,-0.008733607
108,-0.0057071913
109,-0.002091523
110,-0.0074798814
111,-0.0025070403
112,-0.019806935
113,-0.0060363878
114,0.004578888
115,-0.005687344
116,-0.0034389775
117,-0.0041316664
118,-0.009674614
119,0.008210744
120,-0.0081550805
121,-0.0084445495
122,-0.0042680916
123,0.0009450533
124,-0.0027770698
125,-0.014273463
126,-0.0017478581
127,-0.005117797
128,-0.0076869936
129,-0.011691445
130,-0.0016186215
131,-0.00808677
132,-0.003951565
133,0.0037835967
134,-0.0027882261
135,-0.0066349925
136,-0.010580598
137,-0.00853977
138,-0.006458385
139,-0.0014052935
140,-0.008767803
141,0.003002752
142,-0.010010994
143,-0.011256094
144,-0.008605098
145,-0.0026602722
146,-0.004944687
147,-0.0009796227
148,-0.0063977027
149,-0.0029298007
150,-0.009108534
151,-0.0023278208
152,-0.008391764
153,-0.004927701
154,-0.006420912
155,-0.0038403503
156,-0.002132096
157,-0.018221352
158,-0.010771679
159,-0.0060025677
160,-0.004634786
161,-0.0065496187
162,-0.01691705
163,0.0016506999
164,-0.0065826788
165,-0.007656095
166,0.006866307
167,-0.007145159
168,-0.0032127425
169,-0.009173813
170,-0.005838389
171,-0.0044672783
172,-0.004747283
173,-0.00725215
174,-0.00290623
175,-0.0083122775
176,-0.009038056
177,-0.012517699
178,-0.00029830204
179,-0.0035223376
180,-0.0015162863
181,-0.0031696078
182,-0.0023972644
183,-0.008906541
184,-0.0108563015
185,0.00074518396
186,-0.0012407333
187,-0.0033722303
188,-0.004901905
189,-0.0055214847
190,-0.005374878
191,-0.018320484
192,-0.004493344
193,-0.0013968267
194,-0.0009550214
195,8.0394035e-05
196,-0.0071485033
197,-0.0060723717
198,-0.011081075
199,-0.013559913
200,-0.008619122
201,-0.0033913583
202,-0.00024145737
203,0.0011443985
204,-0.0037298645
205,-0.0032277252
206,-0.0075050965
207,-0.014466398
208,-0.011814122
209,0.0010329944
210,-0.0021493528
211,0.0017098698
212,-0.0012131404
213,-0.0058287224
214,-0.01691415
215,0.0025933702
216,-0.010004818
217,-0.009577641
218,-0.0062084836
219,-0.0060246517
220,-0.0065818285
221,-0.0060641826
222,-0.0036978088
223,-0.00060536375
224,-0.005386764
225,-0.0068184943
226,-0.006339715
227,-0.0027610818
228,-0.0006564325
229,-0.0017204484
230,-0.0010702799
231,-0.009159237
232,-0.0042577027
233,-0.00091398123
234,0.0026546118
235,-0.01546567
236,-0.013748611
237,-0.0055751647
238,-0.00956581
239,-0.008928257
240,0.0029456506
241,-0.0125041455
242,-0.0053805076
243,-0.004476017
244,-0.002291371
245,-0.014351055
246,-0.0031837416
247,-0.00034918834
248,-0.0074576214
249,-0.00973135
250,-0.010882721
251,-0.015705945
252,-0.0036637988
253,-0.004045689
254,-0.012262823
255,-0.00206698
